category1,category2,P_score,R_score,F1_score
ethnicity,religion,0.5753493755717353,0.5815329729591981,0.5777410784548567
ethnicity,sexual_orientation,0.5637500818415768,0.5663590325385502,0.5643486928849418
gender,gender,0.5774361341089607,0.5753087962630198,0.5755877285851325
gender,nationality,0.5721235781597357,0.5830212795691899,0.576808341960553
gender,physical_appearance,0.5689734077565851,0.5746485423525025,0.5710166763312349
gender,race,0.5697871474524558,0.5792200873742517,0.5736804643420177
gender,region,0.5795936080243286,0.5769733396989007,0.5776264921321314
gender,religion,0.5760990426620995,0.5760387897552096,0.5753234618492155
gender,sexual_orientation,0.5716069603550572,0.5680833945023122,0.5690619142438168
nationality,nationality,0.586542360039879,0.5911164529808804,0.5881967822907967
nationality,physical_appearance,0.57975209451678,0.5743231818321004,0.5763223589816346
nationality,race,0.585506781531904,0.5837709656250696,0.5839428507619393
nationality,region,0.5891662961254245,0.5761908655330715,0.5820063347144797
nationality,religion,0.5846078384329436,0.5741443609637655,0.5786506584488382
nationality,sexual_orientation,0.5766848266713844,0.5621077940391634,0.5685790978258963
physical_appearance,physical_appearance,0.5702964077978863,0.5747270733682565,0.5717418722737051
physical_appearance,race,0.5725327007635274,0.576418741008788,0.57369090855934
physical_appearance,region,0.5774687871427325,0.5695350995922706,0.5728140252073539
physical_appearance,religion,0.5734223914895511,0.5679067687316642,0.5699017458472789
physical_appearance,sexual_orientation,0.5709370473129028,0.5616657045036256,0.5654913751004577
race,race,0.5792336618758116,0.5862778351767455,0.5819703255834129
race,region,0.584236219837481,0.5727707233945062,0.5777832237639345
race,religion,0.5799853583179709,0.5708571891870378,0.5746394556029921
race,sexual_orientation,0.5732942679174583,0.5601497286424272,0.5658531541414152
region,region,0.591214347237853,0.585256800583286,0.587709243676053
region,religion,0.5799264168113385,0.582242526632501,0.5804659723794421
region,sexual_orientation,0.5715569202392681,0.5703465047033651,0.57030164224785
religion,region,0.5895419299945321,0.5739993890223428,0.5812877281646962
religion,religion,0.5802671203536459,0.5789440523228658,0.5788844957236451
religion,sexual_orientation,0.5720910688639759,0.5686747948258342,0.5696374112334818
sexual_orientation,region,0.5760820723349048,0.5635733861129604,0.5693668450273717
sexual_orientation,sexual_orientation,0.5739440332407293,0.5699366482672966,0.5711745234335477
