category1,category2,P_score,R_score,F1_score
ethnicity,sexual_orientation,0.6151699307321132,0.608544813191824,0.6108493418195344
gender,gender,0.6137819256588608,0.6130202099133979,0.6126020120805769
gender,nationality,0.6033452882017848,0.6050897040705179,0.6032781659339133
gender,physical_appearance,0.6154253641684908,0.620860286335464,0.6174628222701557
gender,race,0.6023910018384344,0.6055203377080143,0.6030138860452644
gender,region,0.6004698418168106,0.5940296267282418,0.5962362195627411
gender,religion,0.614277964438863,0.6225566568081172,0.617810926561681
gender,sexual_orientation,0.6268755841007517,0.624586475523523,0.6249338741526826
nationality,nationality,0.6109454243509084,0.6141972758182903,0.6114648074109983
nationality,physical_appearance,0.6123395797795605,0.6160899719903273,0.613393007392107
nationality,race,0.612132948840627,0.613599954950299,0.6117375919425476
nationality,region,0.6047357407742068,0.5960347135190324,0.5991769987839652
nationality,religion,0.6180357622958365,0.6255617815854634,0.6210762457077548
nationality,sexual_orientation,0.6154869096783492,0.6114634496927128,0.612473263954505
physical_appearance,physical_appearance,0.6313577886031762,0.632946283604952,0.6315962233125842
physical_appearance,race,0.6153894320461254,0.6132107142239814,0.6134995205885131
physical_appearance,region,0.6116264238273421,0.5993290555829043,0.6045213091281695
physical_appearance,religion,0.6285327562726085,0.6313824775079028,0.6295205323502074
physical_appearance,sexual_orientation,0.6359397602369192,0.6273200747578643,0.6309704014994804
race,race,0.6156673549453096,0.6168964533454838,0.6151261775328528
race,region,0.6053051309213486,0.5950177045302705,0.5989447574219253
race,religion,0.6237610315405848,0.6302200203572726,0.6262226158514955
race,sexual_orientation,0.6165166137959426,0.6107452933627883,0.6126257693443496
region,region,0.5974357683819262,0.5949811773204897,0.5950045760525021
region,religion,0.5999701482075258,0.6154726099602429,0.6068271040385838
region,sexual_orientation,0.604736454735551,0.609037882070114,0.6058461547401283
religion,region,0.609136403789596,0.5997669745295767,0.6039693691427745
religion,religion,0.6667325021915658,0.6523948796959811,0.659088724920916
religion,sexual_orientation,0.6464618454631578,0.6348919772403144,0.6399654443665739
sexual_orientation,region,0.5989595217964588,0.5997549906118304,0.5987878252680485
sexual_orientation,sexual_orientation,0.6585417770677142,0.656600139869584,0.6567020718540464
