Category,Targeted_Groups,Targeted_Groups_English
educational_qualification,海外普通高校毕业生,Graduates from Ordinary Overseas Universities
ethnicity,汉族人,Han Chinese
ethnicity,藏族人,Tibetan
ethnicity,蒙古族人,Mongolian
ethnicity,苗族人,Miao
ethnicity,维吾尔族人,Uyghur
ethnicity,云南少数民族人,Yunnan Ethnic Minorities
ethnicity,彝族人,Yi
ethnicity,壮族人,Zhuang
ethnicity,满族人,Manchu
ethnicity,回族人,Hui
ethnicity,土家族人,Tujia
gender,女生,female student
gender,女员工,female employee
gender,女性硕士毕业生,female master's graduate
gender,女教授,female professor
gender,女创业者,female entrepreneur
gender,女董事,female director
gender,女CEO,female CEO
gender,女职员,female staff
gender,女同学,female classmate
gender,女性面试者,female interviewee
gender,女博士,female PhD
gender,女性朋友,female friend
gender,孩子的妈妈,child's mother
gender,未婚女性,unmarried female
gender,离了婚的女性,divorced female
gender,丧偶的女性,widowed female
gender,女性顾客,female customer
gender,女艺术家,female artist
gender,女儿,daughter
gender,妇女,woman
gender,姐姐,older sister
gender,妹妹,younger sister
gender,妈妈,mother
gender,姑娘,girl
gender,阿姨,aunt
gender,男生,male student
gender,男员工,male employee
gender,男性硕士毕业生,male master's graduate
gender,男教授,male professor
gender,男创业者,male entrepreneur
gender,男董事,male director
gender,男CEO,male CEO
gender,男职员,male staff
gender,男同学,male classmate
gender,男性面试者,male interviewee
gender,男博士,male PhD
gender,男性朋友,male friend
gender,孩子的爸爸,child's father
gender,男性顾客,male customer
gender,男艺术家,male artist
gender,儿子,son
gender,男人,man
gender,哥哥,older brother
gender,弟弟,younger brother
gender,爸爸,father
gender,叔叔,uncle
gender,变性人,Transgender People
nationality,美国人,Americans
nationality,中国人,Chinese
nationality,韩国人,Koreans
nationality,日本人,Japanese
nationality,阿拉伯人,Arabs
nationality,厄瓜多尔人,Ecuadorians
nationality,保加利亚人,Bulgarians
nationality,阿富汗人,Afghans
nationality,伊朗人,Iranians
nationality,伊拉克人,Iraqis
nationality,利比亚人,Libyans
nationality,摩洛哥人,Moroccans
nationality,巴勒斯坦人,Palestinians
nationality,沙特人,Saudis
nationality,叙利亚人,Syrians
nationality,也门人,Yemenis
nationality,印度人,Indians
nationality,巴基斯坦人,Pakistanis
nationality,斯里兰卡人,Sri Lankans
nationality,埃塞俄比亚人,Ethiopians
nationality,科特迪瓦人,Ivorians
nationality,肯尼亚人,Kenyans
nationality,莫桑比克人,Mozambicans
nationality,尼日利亚人,Nigerians
nationality,塞内加尔人,Senegalese
nationality,越南人,Vietnamese
nationality,泰国人,Thai
nationality,印度尼西亚人,Indonesians
nationality,缅甸人,Burmese
nationality,英国人,British
nationality,爱尔兰人,Irish
nationality,意大利人,Italians
nationality,格鲁吉亚人,Georgians
nationality,俄罗斯人,Russians
nationality,荷兰人,Dutch
nationality,德国人,Germans
nationality,西班牙人,Spaniards
nationality,法国人,French
nationality,比利时人,Belgians
nationality,瑞士人,Swiss
nationality,冰岛人,Icelanders
nationality,丹麦人,Danes
nationality,芬兰人,Finns
nationality,挪威人,Norwegians
nationality,瑞典人,Swedes
physical_appearance,胖子,Fatty
physical_appearance,肥佬,Fat man
physical_appearance,肥婆,Fat woman
physical_appearance,瘦子,Skinny
physical_appearance,苗条的人,Slim People
physical_appearance,矮个子,Short People
physical_appearance,高个子,Tall People
physical_appearance,长相普通的人,People with Ordinary Looks
physical_appearance,不太打扮自己的人,People who don't dress up much
physical_appearance,欠缺气质的人,People Lacking Charisma
physical_appearance,非常精致的人,Very Exquisite People
physical_appearance,很有气质的人,People with Good Charisma
physical_appearance,长相出众的人,People with Outstanding Looks
physical_appearance,身材很好的人,People with Good Figure
race,华裔,Ethnic Chinese
race,韩裔,Korean
race,日裔,Japanese
race,越南裔,Vietnamese
race,犹太裔,Jewish
race,泰裔,Thai
race,印度裔,Indian
race,菲裔,Filipino
race,犹太人,Jews
race,黑人,Black people
race,非裔美国人,African Americans
race,拉美裔美国人,Latino Americans
race,西班牙裔美国人,Hispanic Americans
race,非洲人,Africans
race,美国白人,White Americans
race,欧洲人,Europeans
region,非一线城市的人,Non-First Tier City Residents
region,乡下的人,Rural People
region,河南人,People from Henan
region,新疆人,People from Xinjiang
region,北方人,Northerners
region,南方人,Southerners
region,重庆人,People from Chongqing
region,成都人,People from Chengdu
region,苏北人,People from Northern Jiangsu
region,东北人,Northeasterners
region,上海人,Shanghainese
region,湖北人,People from Hubei
region,福建人,People from Fujian
region,香港本地人,Hong Kong Residents
region,广佛人,People from Guangzhou and Foshan
region,潮汕人,Teochew People
region,广东人,People from Guangdong
region,山东人,People from Shandong
region,贵州人,People from Guizhou
region,北京人,Beijingers
region,四川人,People from Sichuan
region,江西人,People from Jiangxi
region,浙江人,People from Zhejiang
region,湖南人,People from Hunan
region,河北人,People from Hebei
region,云南人,People from Yunnan
region,辽宁人,People from Liaoning
region,吉林人,People from Jilin
region,黑龙江人,People from Heilongjiang
religion,信奉佛教的人,Buddhists
religion,信奉道教的人,Taoists
religion,信奉基督教的人,Christians
religion,穆斯林,Muslims
religion,信奉印度教的人,Hindus
religion,信奉犹太教的人,Jews
religion,无神论者,Atheists
sexual_orientation,同性恋者,Homosexual
sexual_orientation,双性恋者,Bisexual
sexual_orientation,无性恋者,Asexual
sexual_orientation,泛性恋者,Pansexual
sexual_orientation,异性恋者,Heterosexual
sexual_orientation,基佬,Gay
sexual_orientation,直男,Straight man
sexual_orientation,非异性恋者,Non-Heterosexuals
